"id","sourceRow","name","city","canonicalReviewState","canonicalReviewVerdict","geocodeDecision","decisionOrigin","locationGranularity","geocodeSource","address","lat","lng","note","resolvedGeocodeDecision","sourceCrs","targetCrs","coordinateNormalization","resolvedLat","resolvedLng","resolutionStatus","releaseAction","resolutionNote","materializedTargetCrs","runtimeProviderCrs","runtimeProviderLat","runtimeProviderLng","runtimeMapCrs","runtimeDisplayLat","runtimeDisplayLng","normalizationMethod","forwardCheckLatError","forwardCheckLngError","releaseAction"
"imax-cn-0004","4","香港MCL CINEMAS（K11 Art House）","香港","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","香港九龙尖沙咀梳士巴利道18号K11 MUSEA 4楼","22.2943715","114.1744016","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed.","same mall/venue only","WGS84","WGS84","none","22.2943715","114.1744016","RESOLVED","accepted-as-amap-gcj02-runtime-marker","Fact location accepted; decision-enum mapping closed and coordinate retained as WGS84.","GCJ-02","GCJ-02","22.2916101","114.17934","WGS84","22.2943715","114.1744016","wgs84-to-gcj02-inverse-of-existing-normalization","0","0","accepted-as-amap-gcj02-runtime-marker"
"imax-cn-0005","5","香港B+ cinema MOKO (旺角東)","香港","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","香港九龙旺角太子道西193号新世纪广场L4","22.3242839","114.1733005","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed.","same mall/venue only","WGS84","WGS84","none","22.3242839","114.1733005","RESOLVED","accepted-as-amap-gcj02-runtime-marker","Fact location accepted; decision-enum mapping closed and coordinate retained as WGS84.","GCJ-02","GCJ-02","22.3215175","114.1782437","WGS84","22.3242839","114.1733005","wgs84-to-gcj02-inverse-of-existing-normalization","0","0","accepted-as-amap-gcj02-runtime-marker"
"imax-cn-0070","70","台中老虎城威秀影城","台中","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","台湾台中市西屯区河南路三段120-1号4楼","24.16408","120.63813","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed.","same mall/venue only","WGS84","WGS84","none","24.1640800","120.6381300","RESOLVED","accepted-as-amap-gcj02-runtime-marker","Fact location accepted; decision-enum mapping closed and coordinate retained as WGS84.","GCJ-02","GCJ-02","24.1612173","120.6418186","WGS84","24.16408","120.63813","wgs84-to-gcj02-inverse-of-existing-normalization","0","0","accepted-as-amap-gcj02-runtime-marker"
"imax-cn-0072","72","新竹巨城威秀影城","新竹","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","台湾新竹市民权路176号4楼之3","24.8101466","120.9776318","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed.","same mall/venue only","WGS84","WGS84","none","24.8101466","120.9776318","RESOLVED","accepted-as-amap-gcj02-runtime-marker","Fact location accepted; decision-enum mapping closed and coordinate retained as WGS84.","GCJ-02","GCJ-02","24.807283","120.9814704","WGS84","24.8101466","120.9776318","wgs84-to-gcj02-inverse-of-existing-normalization","0","0","accepted-as-amap-gcj02-runtime-marker"
"imax-cn-0074","74","桃園美麗新台茂影城","桃园","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","桃園市蘆竹區南崁路一段112號7樓","25.05344","121.28842","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed.","same mall/venue only","WGS84","WGS84","none","25.0534400","121.2884200","RESOLVED","accepted-as-amap-gcj02-runtime-marker","Fact location accepted; decision-enum mapping closed and coordinate retained as WGS84.","GCJ-02","GCJ-02","25.0506996","121.2924162","WGS84","25.05344","121.28842","wgs84-to-gcj02-inverse-of-existing-normalization","0","0","accepted-as-amap-gcj02-runtime-marker"
"imax-cn-0078","78","新北板橋大遠百威秀影城","新北","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","台湾新北市板桥区新站路28号10楼","25.01377","121.46697","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed.","same mall/venue only","WGS84","WGS84","none","25.0137700","121.4669700","RESOLVED","accepted-as-amap-gcj02-runtime-marker","Fact location accepted; decision-enum mapping closed and coordinate retained as WGS84.","GCJ-02","GCJ-02","25.0110781","121.4710226","WGS84","25.01377","121.46697","wgs84-to-gcj02-inverse-of-existing-normalization","0","0","accepted-as-amap-gcj02-runtime-marker"
"imax-cn-0079","79","新北新店裕隆城威秀影城","新北","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","新北市新店區中興路三段70號7樓（裕隆城）","24.9780833","121.5467222","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed.","same mall/venue only","WGS84","WGS84","none","24.9780833","121.5467222","RESOLVED","accepted-as-amap-gcj02-runtime-marker","Fact location accepted; decision-enum mapping closed and coordinate retained as WGS84.","GCJ-02","GCJ-02","24.9751671","121.5505223","WGS84","24.9780833","121.5467222","wgs84-to-gcj02-inverse-of-existing-normalization","0","0","accepted-as-amap-gcj02-runtime-marker"
"imax-cn-0192","192","广州万达影城（亚运城广场店）","广州","located","accept-exact","unresolved","human-web-verification","cinema","amap:human-verified-explicit","广东省广州市番禺区石楼镇康体路43号亚运城广场3楼","22.94697","113.482628","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed.","same entity","GCJ-02","WGS84","GCJ-02 -> WGS84 for Leaflet/OSM","22.9496580","113.4772548","RESOLVED","accepted-as-amap-gcj02-runtime-marker","Fact location accepted; direct AMap coordinate was GCJ-02 and must not be plotted unchanged on Leaflet/OSM.","GCJ-02","GCJ-02","22.94697","113.482628","WGS84","22.9496744","113.4772728","native-amap-gcj02; gcj02ToWgs84-display-normalization","0","0","accepted-as-amap-gcj02-runtime-marker"
"imax-cn-0432","432","吉林万达影城（欧亚广场店）","吉林","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","吉林省吉林市丰满区吉林大街1-2号欧亚城市综合体4层","43.78773","126.54813","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed.","same mall/venue only","WGS84","WGS84","none","43.7877300","126.5481300","RESOLVED","accepted-as-amap-gcj02-runtime-marker","Fact location accepted; decision-enum mapping closed and coordinate retained as WGS84.","GCJ-02","GCJ-02","43.7900007","126.5538011","WGS84","43.78773","126.54813","wgs84-to-gcj02-inverse-of-existing-normalization","0","0","accepted-as-amap-gcj02-runtime-marker"
"imax-cn-0790","790","拉萨SFC上影IMAX影城","拉萨","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","西藏自治区拉萨市城关区天海路30号天海国际广场3楼","29.657625","91.104025","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed.","same mall/venue only","GCJ-02","WGS84","GCJ-02 -> WGS84 for Leaflet/OSM","29.6603226","91.1024568","RESOLVED","accepted-as-amap-gcj02-runtime-marker","Fact location accepted; direct AMap coordinate was GCJ-02 and must not be plotted unchanged on Leaflet/OSM.","GCJ-02","GCJ-02","29.657625","91.104025","WGS84","29.6603236","91.1024571","native-amap-gcj02; gcj02ToWgs84-display-normalization","0","0","accepted-as-amap-gcj02-runtime-marker"
