id,sourceRow,name,city,canonicalReviewState,canonicalReviewVerdict,geocodeDecision,decisionOrigin,locationGranularity,geocodeSource,address,lat,lng,note
"imax-cn-0004","4","香港MCL CINEMAS（K11 Art House）","香港","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","香港九龙尖沙咀梳士巴利道18号K11 MUSEA 4楼","22.2943715","114.1744016","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0005","5","香港B+ cinema MOKO (旺角東)","香港","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","香港九龙旺角太子道西193号新世纪广场L4","22.3242839","114.1733005","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0070","70","台中老虎城威秀影城","台中","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","台湾台中市西屯区河南路三段120-1号4楼","24.16408","120.63813","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0072","72","新竹巨城威秀影城","新竹","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","台湾新竹市民权路176号4楼之3","24.8101466","120.9776318","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0074","74","桃園美麗新台茂影城","桃园","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","桃園市蘆竹區南崁路一段112號7樓","25.05344","121.28842","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0078","78","新北板橋大遠百威秀影城","新北","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","台湾新北市板桥区新站路28号10楼","25.01377","121.46697","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0079","79","新北新店裕隆城威秀影城","新北","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","新北市新店區中興路三段70號7樓（裕隆城）","24.9780833","121.5467222","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0192","192","广州万达影城（亚运城广场店）","广州","located","accept-exact","unresolved","human-web-verification","cinema","amap:human-verified-explicit","广东省广州市番禺区石楼镇康体路43号亚运城广场3楼","22.94697","113.482628","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0432","432","吉林万达影城（欧亚广场店）","吉林","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","吉林省吉林市丰满区吉林大街1-2号欧亚城市综合体4层","43.78773","126.54813","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0790","790","拉萨SFC上影IMAX影城","拉萨","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","西藏自治区拉萨市城关区天海路30号天海国际广场3楼","29.657625","91.104025","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0805","805","重庆越界影城（大学城店）","重庆","located","accept-historical-location","unresolved","human-web-verification","venue","human:web-historical-location","重庆市沙坪坝区大学城中路9号台北城生活广场4楼","29.586057","106.306618","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0883","883","淮北金逸影城（IMAX店）","淮北","located","accept-historical-location","unresolved","human-web-verification","venue","human:web-historical-location","安徽省淮北市相山区南黎路138号海容商业广场第三层","33.94002","116.8024","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0891","891","基隆國立海洋科技博物館","基隆","located","accept-location-only","unresolved","human-web-verification","venue","human:web-venue-location","台灣基隆市中正區北寧路367號","25.140044","121.79883","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
"imax-cn-0893","893","常州幸福蓝海国际影城（嘉禾店）","常州","located","accept-historical-location","unresolved","human-web-verification","venue","human:web-historical-location","江苏省常州市钟楼区延陵西路123号吾悦国际广场A座6层","31.7811165","119.9479141","canonical reviewState is located; final-internal geocode.decision remains unresolved because provider CRS/decision mapping is not closed."
