id,sourceRow,name,result,reviewer,confirmationSource,evidenceCount,evidenceUrls,notes
"imax-cn-0331","331","沈阳万达影城（辽宁省科技馆—万达影城IMAXGT双激光）","same mall/venue only","codex-browser-review","codex-browser-independent-review","2","https://whly.ln.gov.cn/whly/wlzt/lnwhsczhzf/2025031711433824142/index.shtml | https://cinema.gaoliang.me/en/cinema/%E6%B2%88%E9%98%B3%E4%B8%87%E8%BE%BE%E5%BD%B1%E5%9F%8E%EF%BC%88%E8%BE%BD%E5%AE%81%E7%9C%81%E7%A7%91%E6%8A%80%E9%A6%86%E2%80%94%E4%B8%87%E8%BE%BE%E5%BD%B1%E5%9F%8EIMAX%20GT%E5%8F%8C%E6%BF%80%E5%85%89%EF%BC%89_IMAX","网页端独立复核确认辽宁省科学技术馆智慧三街159号内存在IMAX GT影厅，并由万达影城按商业放映手续运营；AMap的塔湾街40号科技馆和其他万达分店均为错误地点。具体影厅/运营入口身份不再升级，按venue-level物化。"
"imax-cn-0826","826","武汉UA新民众乐园电影城","same mall/venue only","codex-browser-review","codex-browser-independent-review","2","https://m.dongfangfuli.com/cinema/detail/586?city=67 | https://blog.zengrong.net/post/watch-tenet-in-cinema/","票务目录确认武汉UA新民众乐园电影城位于中山大道608号新民众乐园4楼，并标注原环艺影城及IMAX厅；独立资料确认旧名改为UA。AMap仅有商场锚点，按venue-level保存，不把民众乐园商场POI升级为影院POI，也不额外推断当前营业状态。"
"imax-cn-0069","69","台北美麗華大直影城","same mall/venue only","codex-browser-review","codex-browser-independent-review","2","https://www.miramarcinemas.tw/Home/aboutus | https://www.taipeitimes.com/News/biz/archives/2006/02/28/2003295075","美麗華官方页面确认大直影城IMAX及敬業三路22號6樓；Taipei Times确认原華納威秀分店更名为Miramar Cinemas并保留IMAX。AMap的20号Dolby厅不是指定22号馆入口，因此只使用22号馆venue anchor。"
"imax-cn-0790","790","拉萨SFC上影IMAX影城","same mall/venue only","codex-browser-review","codex-browser-independent-review","2","https://www.amap.com/place/B0MROSG9K0 | https://cinema.gaoliang.me/en/city/%E8%A5%BF%E8%97%8F/%E6%8B%89%E8%90%A8","公开AMap详情与独立影院资料共同确认原天海万达影城/SFC上影IMAX影城位于天海国际广场3楼；当前队列的纳金东路54号城关万达广场和柳梧万达均为不同商业体。只物化天海国际广场venue-level。"
"imax-cn-0897","897","","same entity","codex-browser-review","codex-browser-independent-review","2","https://m.maigoo.com/news/686296.html | https://www.qzfz.gov.cn/zwgk/yatabf/zxta/202409/t20240902_3077573.htm","独立网页资料确认泉州丰泽东海泰禾广场17幢L601为保利万和IMAX店；AMap缓存中的B0IKMUN6W7正是该地址的保利万和泰禾店，拒绝晋江、南安等同地级市其他分店。"
"imax-cn-0731","731","","same entity","codex-browser-review","codex-browser-independent-review","2","https://www.kangou.cn/search-cinema.shtml?searchid=201005&searchsubmit=yes&kw=%E4%BF%9D%E5%88%A9 | https://www.maoyan.com/cinema/28753","公开票务页把原保利广场店和当前临江万达IMAX店锁定到南充高坪区同一地址；AMap候选B0FFMHT0CS为南充高坪万达广场店，接受该分店，不接受其他南充万达。"
"imax-cn-0893","893","常州幸福蓝海国际影城（嘉禾店）","acceptedHistoricalLocation","codex-browser-review","codex-browser-independent-review","3","https://m.dongfangfuli.com/cinema/list?city=104&region_id=874 | https://top.qcc.com/tc/7c9a44db1c65.html | https://www.google.com/maps/place/%E5%90%BE%E6%82%A6%E5%9B%BD%E9%99%85%E5%B9%BF%E5%9C%BA/data=!4m7!3m6!1s0x35b412cb2869a7a7:0x175f7017a66af3ca!8m2!3d31.7811165!4d119.9479141","独立票务、企业资料和闭店公告共同确认原橙天嘉禾/嘉禾店在延陵西路123号吾悦国际广场A座6层；公开地图确认该商场venue坐标31.7811165,119.9479141。2025年闭店，不绑定常州歌林、万象城或春江等其他幸福蓝海分店。"
"imax-cn-0896","896","昆明云南昆明摩天激光IMAX影院","acceptedHistoricalLocation","codex-browser-review","codex-browser-independent-review","3","https://zh.wikipedia.org/wiki/IMAX | https://www.amap.com/place/B0I1NRBI2C | https://m.dongfangfuli.com/cinema/detail/3890?city=23","IMAX公开资料确认原昆明大都LCC光魔雷射影院位于大都摩天购物中心并设363座激光IMAX；公开AMap同址候选为大都光魔激光影院。按历史地点物化，不把现有/后续大都影院运营状态写成原影院仍营业。"
"imax-cn-0859","859","呼和浩特CGV影城（中山店）","acceptedHistoricalLocation","codex-browser-review","codex-browser-independent-review","3","https://zx.sina.cn/kxlib/2021-03-02/zx-ikftpnnz0664073.d.html?cre=wappage&loc=4&mod=r&r=0&rfunc=11&tj=wap_news_relate | https://news.cnr.cn/native/gd/20150314/t20150314_518003372.shtml | https://movie.douban.com/cinema/search/huhehaote/","公开报道、2015年报道及影院目录共同确认CGV呼和浩特中山店在金翡丽广场五层，并记录2021年停止营业；横店电影城(金翡丽店)仅作同址后续运营锚点，不等同CGV实体。"
"imax-cn-0887","887","汕头星城影院（正大卜蜂中心店）","acceptedHistoricalLocation","codex-browser-review","codex-browser-independent-review","2","https://m.dongfangfuli.com/cinema/detail/2446?city=22 | https://m.cpgroup.cn/index.php?a=show&c=index&catid=27&id=10&m=content","独立票务目录确认汕头星城影院位于东厦北路175号南信星汇国际商城卜蜂中心4-5楼并设IMAX；卜蜂中心官方资料确认该商业体配置国际IMAX影院。AMap租户POI仅作历史场馆锚点，不作为影院POI。"
