"影城名称","银幕宽度（米)","银幕高度（米)","银幕面积（平方米)","座位数（个)"
"香港MY CINEMA YOHO MALL","20.140
19.871","11.000
10.335","221.5400
205.3667","409"
"香港英皇戲院（尖沙咀iSQUARE）","20.940
21.184","11.800
11.266","247.0920
238.6589","458"
"香港MCL CINEMAS（K11 Art House）","20.700
20.802","11.770
11.514","243.6390
239.5142","368"
"香港B+ cinema MOKO (旺角東)","16.330
16.911","9.260
8.723","151.2158
147.5146","268
264"
"香港影藝戲院(MegaBox)","17.700
18.000
17.538","12.640
11.400
9.528 ","227.5200
201.7800
167.1020","267 + 4 輪椅專用位置"
"上海万达影城（松江万达广场店）","22.388 ","11.229 ","251.3948","395"
"上海万达影城（颛桥龙盛广场店）","19.864 ","10.421 ","207.0027","372
201"
"上海横店电影城（IMAX奉贤宝龙店）","19.164 ","10.487 ","200.9728","273"
"上海SFC上影影城（天山缤谷IMAX店）","18.338 ","9.809 ","179.8774","192"
"上海CGV影城（七宝店） ","19.126 ","10.263 ","196.2901","214"
"上海星轶IMAX影城（九亭U天地旗舰店）","19.570
18.688","11.390
9.915","222.9023
185.2915","263"
"上海SFC上影百联影城（八佰伴IMAX店）","14.005 ","6.913 "," 96.8165","305"
"上海SFC上影影城（绿地缤纷城IMAX店）","18.389 ","9.882 ","181.7200","224"
"上海SFC上影影城（金桥太茂IMAX店）","21.785 ","11.583 ","252.3356","330"
"上海SFC上影百联影城（川沙IMAX店）","19.628 ","10.416 ","204.4452","180"
"上海幸福蓝海国际影城（宝山龙湖IMAX店）","25.440
23.286","13.230
12.300","336.5712
286.4178","288"
"上海CGV影城（白玉兰广场店）","22.624 ","11.862 ","268.3658","222"
"上海寰映影城（大融城店）","25.880
23.453","13.460
12.678","348.3450
297.3371","329"
"上海博悦汇影城（BFC IMAX店)","14.800
14.901","8.400
8.262","124.3200
123.1120","224"
"上海百丽宫影城（LCM置汇旭辉广场店）","20.332 ","10.818 ","219.8433","308"
"上海万达影城（宝山万达广场店）","20.050
20.050
18.900
18.881","10.488
10.480
10.450
10.188","210.2844
210.1240
197.5050
192.3596","241
229"
"上海万达影城（青浦万达茂店）","25.760
23.633","13.680
12.605","352.3968
297.8939","333"
"上海万达影城（浦江万达广场店)","20.760
18.764","10.780
9.781","223.7928
183.5306","271"
"上海幸福蓝海国际影城（招商花园城IMAX店）","21.680
20.100
20.057","11.400
11.340
10.751","247.1520
227.9340
215.6328","274"
